id,title,description,link,image_link,price,sale_price,category,availability,color,gender,mpn
w33,Kaftan Dress,"Flowing silk-blend kaftan with metallic embroidery. One size, endlessly versatile.",http://localhost:8080/product/detail.html?id=w33,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=400&h=500&fit=crop&q=80,145.00,,Clothing > Women,out of stock,Navy,Women,w3326n
w34,Tuxedo Dress,"Sharp tuxedo-inspired dress with satin lapels. Peak lapel, single-button closure.",http://localhost:8080/product/detail.html?id=w34,https://images.unsplash.com/photo-1539109136881-3be0616acf4b?w=400&h=500&fit=crop&q=80,255.00,,Clothing > Women,in stock,Beige,Women,w3420b
w35,Asymmetric Hem Dress,Modern dress with a dramatic asymmetric hemline. One-shoulder design in ponte jersey.,http://localhost:8080/product/detail.html?id=w35,https://images.unsplash.com/photo-1485968579580-b6d095142e6e?w=400&h=500&fit=crop&q=80,175.00,,Clothing > Women,in stock,Brown,Women,w3521b
w36,Poplin Bubble Dress,Architectural bubble-hem dress in crisp cotton poplin. Playful volume with clean lines.,http://localhost:8080/product/detail.html?id=w36,https://images.unsplash.com/photo-1496747611176-843222e1e57c?w=400&h=500&fit=crop&q=80,135.00,,Clothing > Women,in stock,Grey,Women,w3624g
w37,Leather Mini Dress,Butter-soft lambskin leather mini dress. A-line cut with a concealed back zip.,http://localhost:8080/product/detail.html?id=w37,https://images.unsplash.com/photo-1469334031218-e382a71b716b?w=400&h=500&fit=crop&q=80,345.00,,Clothing > Women,out of stock,Camel,Women,w3722c
w38,Striped Midi Dress,Breton-striped midi in organic cotton jersey. Boat neck with three-quarter sleeves.,http://localhost:8080/product/detail.html?id=w38,https://images.unsplash.com/photo-1554568218-0f1715e72254?w=400&h=500&fit=crop&q=80,145.00,,Clothing > Women,in stock,Ivory,Women,w3825i
w39,Shirt Midi Dress,Polished shirt dress in stretch cotton. Perfect for the office with sneakers or heels.,http://localhost:8080/product/detail.html?id=w39,https://images.unsplash.com/photo-1529139574466-a303027c1d8b?w=400&h=500&fit=crop&q=80,155.00,,Clothing > Women,in stock,Red,Women,w3927r
w40,Plissé Maxi Dress,Micro-plissé maxi dress in recycled polyester. Shimmering metallic finish for evening.,http://localhost:8080/product/detail.html?id=w40,https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=400&h=500&fit=crop&q=80,225.00,,Clothing > Women,in stock,Green,Women,w4023g
w41,Silk Wrap Blouse,Feminine wrap blouse in silk georgette. Self-tie waist detail and fluted sleeves.,http://localhost:8080/product/detail.html?id=w41,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=400&h=500&fit=crop&q=80,98.00,,Clothing > Women,out of stock,Black,Women,w4119b
w42,Cashmere Turtleneck,"Grade-A Mongolian cashmere turtleneck. Ribbed cuffs, hem, and collar.",http://localhost:8080/product/detail.html?id=w42,https://images.unsplash.com/photo-1539109136881-3be0616acf4b?w=400&h=500&fit=crop&q=80,220.00,,Clothing > Women,in stock,White,Women,w4228w
w43,Linen Camp Shirt,Relaxed camp-collar shirt in washed linen. Chest pocket and a boxy fit.,http://localhost:8080/product/detail.html?id=w43,https://images.unsplash.com/photo-1485968579580-b6d095142e6e?w=400&h=500&fit=crop&q=80,85.00,,Clothing > Women,in stock,Navy,Women,w4326n
w44,Silk Camisole,Delicate silk charmeuse camisole with lace trim. Adjustable straps for the perfect fit.,http://localhost:8080/product/detail.html?id=w44,https://images.unsplash.com/photo-1496747611176-843222e1e57c?w=400&h=500&fit=crop&q=80,75.00,,Clothing > Women,in stock,Beige,Women,w4420b
w45,Oversized Cotton Shirt,Crisp oversized cotton shirt with French seams. A layering essential in pure white.,http://localhost:8080/product/detail.html?id=w45,https://images.unsplash.com/photo-1469334031218-e382a71b716b?w=400&h=500&fit=crop&q=80,95.00,,Clothing > Women,out of stock,Brown,Women,w4521b
w46,Pussy-Bow Blouse,Elegant pussy-bow blouse in printed silk twill. A statement piece that elevates any look.,http://localhost:8080/product/detail.html?id=w46,https://images.unsplash.com/photo-1554568218-0f1715e72254?w=400&h=500&fit=crop&q=80,125.00,,Clothing > Women,in stock,Grey,Women,w4624g
w47,Cropped Knit Top,Fitted cropped knit in soft cotton-cashmere blend. Ribbed trim at the neckline.,http://localhost:8080/product/detail.html?id=w47,https://images.unsplash.com/photo-1529139574466-a303027c1d8b?w=400&h=500&fit=crop&q=80,85.00,,Clothing > Women,in stock,Camel,Women,w4722c
w48,Draped Jersey Top,Fluid jersey top with an artful cowl neckline. Easy elegance for everyday.,http://localhost:8080/product/detail.html?id=w48,https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=400&h=500&fit=crop&q=80,65.00,,Clothing > Women,in stock,Ivory,Women,w4825i
w49,Peplum Top,Structured peplum top in stretch crepe. Nips in at the waist with a flared hem.,http://localhost:8080/product/detail.html?id=w49,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=400&h=500&fit=crop&q=80,95.00,,Clothing > Women,out of stock,Red,Women,w4927r
w50,Lace Trim Camisole,Satin camisole with French Chantilly lace at the neckline. Layer or wear alone.,http://localhost:8080/product/detail.html?id=w50,https://images.unsplash.com/photo-1539109136881-3be0616acf4b?w=400&h=500&fit=crop&q=80,85.00,,Clothing > Women,in stock,Green,Women,w5023g
w51,Breton Stripe Top,Classic Breton stripe in organic cotton. Boat neck with long sleeves.,http://localhost:8080/product/detail.html?id=w51,https://images.unsplash.com/photo-1485968579580-b6d095142e6e?w=400&h=500&fit=crop&q=80,55.00,,Clothing > Women,in stock,Black,Women,w5119b
w52,One-Shoulder Top,Asymmetric one-shoulder top in ribbed jersey. A modern staple with a sculptural feel.,http://localhost:8080/product/detail.html?id=w52,https://images.unsplash.com/photo-1496747611176-843222e1e57c?w=400&h=500&fit=crop&q=80,75.00,,Clothing > Women,in stock,White,Women,w5228w
w53,Organza Blouse,Sheer organza blouse with tonal embroidery. Balloon sleeves and a stand collar.,http://localhost:8080/product/detail.html?id=w53,https://images.unsplash.com/photo-1469334031218-e382a71b716b?w=400&h=500&fit=crop&q=80,115.00,,Clothing > Women,out of stock,Navy,Women,w5326n
w54,Fitted Rib Tank,Essential ribbed tank in organic cotton. Fitted silhouette with a scoop neck.,http://localhost:8080/product/detail.html?id=w54,https://images.unsplash.com/photo-1554568218-0f1715e72254?w=400&h=500&fit=crop&q=80,45.00,,Clothing > Women,in stock,Beige,Women,w5420b
w55,Ruffle Front Blouse,Romantic ruffle-front blouse in lightweight cotton voile. Feminine and effortless.,http://localhost:8080/product/detail.html?id=w55,https://images.unsplash.com/photo-1529139574466-a303027c1d8b?w=400&h=500&fit=crop&q=80,105.00,,Clothing > Women,in stock,Brown,Women,w5521b
w56,Silk Shirt,Classic silk crepe de chine shirt. French cuffs and mother-of-pearl buttons.,http://localhost:8080/product/detail.html?id=w56,https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=400&h=500&fit=crop&q=80,135.00,,Clothing > Women,in stock,Grey,Women,w5624g
w57,Bardot Top,Off-shoulder bardot top in stretch jersey. Elasticated neckline sits perfectly.,http://localhost:8080/product/detail.html?id=w57,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=400&h=500&fit=crop&q=80,65.00,,Clothing > Women,out of stock,Camel,Women,w5722c
w58,Printed Blouse,Vibrant printed blouse in sustainable viscose. Relaxed fit with covered buttons.,http://localhost:8080/product/detail.html?id=w58,https://images.unsplash.com/photo-1539109136881-3be0616acf4b?w=400&h=500&fit=crop&q=80,95.00,,Clothing > Women,in stock,Ivory,Women,w5825i
w59,Cashmere V-Neck,Fine-gauge cashmere V-neck in a relaxed fit. The everyday luxury essential.,http://localhost:8080/product/detail.html?id=w59,https://images.unsplash.com/photo-1485968579580-b6d095142e6e?w=400&h=500&fit=crop&q=80,195.00,,Clothing > Women,in stock,Red,Women,w5927r
w60,Cotton Poplin Blouse,Crisp poplin blouse with a Peter Pan collar. Back button closure and puff sleeves.,http://localhost:8080/product/detail.html?id=w60,https://images.unsplash.com/photo-1496747611176-843222e1e57c?w=400&h=500&fit=crop&q=80,85.00,,Clothing > Women,in stock,Green,Women,w6023g
w61,Mesh Long Sleeve Top,Sheer mesh top for layering. Fitted with a crew neck and thumb holes.,http://localhost:8080/product/detail.html?id=w61,https://images.unsplash.com/photo-1469334031218-e382a71b716b?w=400&h=500&fit=crop&q=80,55.00,,Clothing > Women,out of stock,Black,Women,w6119b
w62,Tie-Front Crop Top,Playful tie-front crop top in cotton jersey. Adjustable for your preferred fit.,http://localhost:8080/product/detail.html?id=w62,https://images.unsplash.com/photo-1554568218-0f1715e72254?w=400&h=500&fit=crop&q=80,65.00,,Clothing > Women,in stock,White,Women,w6228w
w63,Turtleneck Bodysuit,Sleek turtleneck bodysuit in stretch modal. Snap closure for a seamless tuck.,http://localhost:8080/product/detail.html?id=w63,https://images.unsplash.com/photo-1529139574466-a303027c1d8b?w=400&h=500&fit=crop&q=80,75.00,,Clothing > Women,in stock,Navy,Women,w6326n
w64,Embellished Blouse,Evening blouse with crystal embellishments. Sheer georgette with a camisole lining.,http://localhost:8080/product/detail.html?id=w64,https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=400&h=500&fit=crop&q=80,155.00,,Clothing > Women,in stock,Beige,Women,w6420b
w65,Denim Western Shirt,Snap-front western shirt in soft-washed denim. Pearl snap buttons and pointed yoke.,http://localhost:8080/product/detail.html?id=w65,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=400&h=500&fit=crop&q=80,95.00,,Clothing > Women,out of stock,Brown,Women,w6521b
w66,Ribbed Tank Top,Essential ribbed tank in organic cotton. Scoop neck with a slim fit.,http://localhost:8080/product/detail.html?id=w66,https://images.unsplash.com/photo-1539109136881-3be0616acf4b?w=400&h=500&fit=crop&q=80,45.00,,Clothing > Women,in stock,Grey,Women,w6624g
w67,Shoulder-Pad Top,Structured T-shirt with padded shoulders. A power silhouette in cotton jersey.,http://localhost:8080/product/detail.html?id=w67,https://images.unsplash.com/photo-1485968579580-b6d095142e6e?w=400&h=500&fit=crop&q=80,75.00,,Clothing > Women,in stock,Camel,Women,w6722c
w68,Balloon-Sleeve Blouse,Voluminous balloon sleeves in cotton voile. Button-front with a cropped length.,http://localhost:8080/product/detail.html?id=w68,https://images.unsplash.com/photo-1496747611176-843222e1e57c?w=400&h=500&fit=crop&q=80,105.00,,Clothing > Women,in stock,Ivory,Women,w6825i
w69,Asymmetric Top,One-side draped top in stretch jersey. Architectural cut for visual interest.,http://localhost:8080/product/detail.html?id=w69,https://images.unsplash.com/photo-1469334031218-e382a71b716b?w=400&h=500&fit=crop&q=80,85.00,,Clothing > Women,out of stock,Red,Women,w6927r
w70,Henley Top,Waffle-knit Henley in cotton. Three-button placket with a relaxed fit.,http://localhost:8080/product/detail.html?id=w70,https://images.unsplash.com/photo-1554568218-0f1715e72254?w=400&h=500&fit=crop&q=80,55.00,,Clothing > Women,in stock,Green,Women,w7023g
w71,Sequin Top,All-over sequin top with a boat neckline. Party-ready in seconds.,http://localhost:8080/product/detail.html?id=w71,https://images.unsplash.com/photo-1529139574466-a303027c1d8b?w=400&h=500&fit=crop&q=80,145.00,,Clothing > Women,in stock,Black,Women,w7119b
w72,Chambray Shirt,Soft chambray shirt with a relaxed fit. Roll-tab sleeves and chest pocket.,http://localhost:8080/product/detail.html?id=w72,https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=400&h=500&fit=crop&q=80,85.00,,Clothing > Women,in stock,White,Women,w7228w
w73,Corset Top,Structured corset top in stretch cotton. Boning detail with a sweetheart neckline.,http://localhost:8080/product/detail.html?id=w73,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=400&h=500&fit=crop&q=80,115.00,,Clothing > Women,out of stock,Navy,Women,w7326n
w74,Satin Blouse,Liquid satin blouse with a pussy-bow tie. Lustrous finish for evening.,http://localhost:8080/product/detail.html?id=w74,https://images.unsplash.com/photo-1539109136881-3be0616acf4b?w=400&h=500&fit=crop&q=80,105.00,,Clothing > Women,in stock,Beige,Women,w7420b
w75,Graphic Tee,Organic cotton tee with original artwork. Relaxed fit with a vintage wash.,http://localhost:8080/product/detail.html?id=w75,https://images.unsplash.com/photo-1485968579580-b6d095142e6e?w=400&h=500&fit=crop&q=80,45.00,,Clothing > Women,in stock,Brown,Women,w7521b
w76,Wide-Leg Trousers,High-waisted wide-leg trousers in Italian crepe. A wardrobe essential.,http://localhost:8080/product/detail.html?id=w76,https://images.unsplash.com/photo-1496747611176-843222e1e57c?w=400&h=500&fit=crop&q=80,165.00,,Clothing > Women,in stock,Grey,Women,w7624g
w77,Pleated Midi Skirt,Fluid pleated midi skirt in satin-back crepe. Elasticated waistband for comfort.,http://localhost:8080/product/detail.html?id=w77,https://images.unsplash.com/photo-1469334031218-e382a71b716b?w=400&h=500&fit=crop&q=80,145.00,,Clothing > Women,out of stock,Camel,Women,w7722c
w78,Tailored Wool Trousers,Slim-fit tailored trousers in Super 100s wool. Pressed crease and side zip.,http://localhost:8080/product/detail.html?id=w78,https://images.unsplash.com/photo-1554568218-0f1715e72254?w=400&h=500&fit=crop&q=80,195.00,,Clothing > Women,in stock,Ivory,Women,w7825i
w79,Leather Trousers,Straight-leg trousers in butter-soft lambskin. A modern wardrobe investment.,http://localhost:8080/product/detail.html?id=w79,https://images.unsplash.com/photo-1529139574466-a303027c1d8b?w=400&h=500&fit=crop&q=80,295.00,,Clothing > Women,in stock,Red,Women,w7927r
w80,Satin Midi Skirt,Bias-cut satin midi skirt that drapes beautifully. Elasticated waist in the back.,http://localhost:8080/product/detail.html?id=w80,https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=400&h=500&fit=crop&q=80,125.00,,Clothing > Women,in stock,Green,Women,w8023g
w81,High-Waist Jeans,Classic straight-leg jeans in Japanese selvedge denim. High waist with a button fly.,http://localhost:8080/product/detail.html?id=w81,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=400&h=500&fit=crop&q=80,135.00,,Clothing > Women,out of stock,Black,Women,w8119b
w82,Palazzo Pants,Ultra-wide palazzo pants in fluid viscose. Elasticated waist with a dramatic silhouette.,http://localhost:8080/product/detail.html?id=w82,https://images.unsplash.com/photo-1539109136881-3be0616acf4b?w=400&h=500&fit=crop&q=80,155.00,,Clothing > Women,in stock,White,Women,w8228w
w83,Pencil Skirt,Tailored pencil skirt in stretch wool. Back vent and a concealed zip closure.,http://localhost:8080/product/detail.html?id=w83,https://images.unsplash.com/photo-1485968579580-b6d095142e6e?w=400&h=500&fit=crop&q=80,115.00,,Clothing > Women,in stock,Navy,Women,w8326n
w84,Cargo Trousers,Relaxed cargo trousers in washed cotton twill. Multiple pockets with a tapered leg.,http://localhost:8080/product/detail.html?id=w84,https://images.unsplash.com/photo-1496747611176-843222e1e57c?w=400&h=500&fit=crop&q=80,125.00,,Clothing > Women,in stock,Beige,Women,w8420b
w85,Wrap Skirt,Linen-blend wrap skirt with an asymmetric hem. Tie waist for an adjustable fit.,http://localhost:8080/product/detail.html?id=w85,https://images.unsplash.com/photo-1469334031218-e382a71b716b?w=400&h=500&fit=crop&q=80,105.00,,Clothing > Women,out of stock,Brown,Women,w8521b
w86,Culottes,Cropped wide-leg culottes in Japanese cotton. Pressed front creases for polish.,http://localhost:8080/product/detail.html?id=w86,https://images.unsplash.com/photo-1554568218-0f1715e72254?w=400&h=500&fit=crop&q=80,115.00,,Clothing > Women,in stock,Grey,Women,w8624g
w87,Flared Jeans,High-rise flared jeans in dark indigo wash. Vintage-inspired with a modern stretch.,http://localhost:8080/product/detail.html?id=w87,https://images.unsplash.com/photo-1529139574466-a303027c1d8b?w=400&h=500&fit=crop&q=80,145.00,,Clothing > Women,in stock,Camel,Women,w8722c
w88,Leather Mini Skirt,A-line mini skirt in smooth calfskin leather. Concealed back zip with full lining.,http://localhost:8080/product/detail.html?id=w88,https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=400&h=500&fit=crop&q=80,195.00,,Clothing > Women,in stock,Ivory,Women,w8825i
w89,Linen Trousers,Relaxed-fit trousers in stonewashed European linen. Drawstring waist and side pockets.,http://localhost:8080/product/detail.html?id=w89,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=400&h=500&fit=crop&q=80,125.00,,Clothing > Women,out of stock,Red,Women,w8927r
w90,Sequin Midi Skirt,All-over sequin midi skirt with an elasticated waist. The ultimate party piece.,http://localhost:8080/product/detail.html?id=w90,https://images.unsplash.com/photo-1539109136881-3be0616acf4b?w=400&h=500&fit=crop&q=80,185.00,,Clothing > Women,in stock,Green,Women,w9023g
w91,Bermuda Shorts,Tailored Bermuda shorts in cotton-linen blend. Pressed crease with belt loops.,http://localhost:8080/product/detail.html?id=w91,https://images.unsplash.com/photo-1485968579580-b6d095142e6e?w=400&h=500&fit=crop&q=80,85.00,,Clothing > Women,in stock,Black,Women,w9119b
w92,Silk Palazzo Pants,Flowing palazzo pants in washed silk. Ultra-wide leg with an elasticated waist.,http://localhost:8080/product/detail.html?id=w92,https://images.unsplash.com/photo-1496747611176-843222e1e57c?w=400&h=500&fit=crop&q=80,215.00,,Clothing > Women,in stock,White,Women,w9228w
w93,Corduroy Trousers,Wide-wale corduroy trousers with a high waist. Vintage-inspired straight leg.,http://localhost:8080/product/detail.html?id=w93,https://images.unsplash.com/photo-1469334031218-e382a71b716b?w=400&h=500&fit=crop&q=80,115.00,,Clothing > Women,out of stock,Navy,Women,w9326n
w94,Pleated Wool Trousers,Front-pleated trousers in flannel wool. Relaxed through the hip with a tapered leg.,http://localhost:8080/product/detail.html?id=w94,https://images.unsplash.com/photo-1554568218-0f1715e72254?w=400&h=500&fit=crop&q=80,175.00,,Clothing > Women,in stock,Beige,Women,w9420b
w95,Denim Mini Skirt,Classic denim mini skirt with raw edges. Five-pocket styling in medium wash.,http://localhost:8080/product/detail.html?id=w95,https://images.unsplash.com/photo-1529139574466-a303027c1d8b?w=400&h=500&fit=crop&q=80,75.00,,Clothing > Women,in stock,Brown,Women,w9521b
w96,Track Pants,Elevated track pants in technical jersey. Side stripe detail with an elasticated waist.,http://localhost:8080/product/detail.html?id=w96,https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=400&h=500&fit=crop&q=80,95.00,,Clothing > Women,in stock,Grey,Women,w9624g
